Indice;Materia;Prerequisito;Codigo;Creditos;Horas
0;ALGEBRA LINEAL;N/A;MATD113;3;144
1;CALCULO EN UNA VARIABLE;N/A;MATD123;3;144
2;MECANICA NEWTONIANA;N/A;FISD134;4;192
3;PROGRAMACION I;N/A;ICCD144;4;192
4;COMUNICACION ORAL Y ESCRITA;N/A;CSHD111;1;48
5;ECUACIONES DIFERENCIALES ORDINARIAS;ALGEBRA LINEAL - CALCULO EN UNA VARIABLE;MATD213;3;144
6;MATEMATICAS COMPUTACIONALES Y TEORIA DE LA COMPUTACION;ALGEBRA LINEAL - PROGRAMACION I;ICCD224;4;192
7;FUNDAMENTOS DE ELECTRÓNICA PARA COMPUTACION;MECANICA NEWTONIANA;ICCD233;3;144
8;PROGRAMACION II;PROGRAMACION I;ICCD244;4;192
9;ANALISIS SOCIOECONOMICO Y POLITICO DEL ECUADOR;N/A;CSHD211;1;48
10;PROBABILIDAD Y ESTADISTICAS BASICAS;CALCULO EN UNA VARIABLE;MATD223;3;144
11;SISTEMAS OPERATIVOS;PROGRAMACION II;ICCD323;3;144
12;ARQUITECTURA  DE COMPUTADORES;FUNDAMENTOS DE ELECTRÓNICA PARA COMPUTACION;ICCD332;2;96
13;ESTRUCTURA DE DATOS Y ALGORITMOS I;PROGRAMACION II;ICCD343;3;144
14;FUNDAMENTOS DE REDES Y CONECTIVIDAD;FUNDAMENTOS DE ELECTRÓNICA PARA COMPUTACION - PROGRAMACION II;ICCD353;3;144
15;ASIGNATURA DE ARTES Y HUMANIDADES;N/A;CSHD300;1;48
16;METODOS NUMERICOS;ESTRUCTURA DE DATOS Y ALGORITMOS I;ICCD412;2;96
17;COMPILADORES Y LENGUAJES;MATEMATICAS COMPUTACIONALES Y TEORIA DE LA COMPUTACION;ICCD422;2;96
18;MULTIPROCESAMIENTO Y ARQUITECTURAS ALTERNATIVAS;SISTEMAS OPERATIVOS;ICCD432;2;96
19;ESTRUCTURA DE DATOS Y ALGORITMOS II;ESTRUCTURA DE DATOS Y ALGORITMOS I;ICCD442;2;96
20;FUNDAMENTOS DE BASES DE DATOS;ESTRUCTURA DE DATOS Y ALGORITMOS I;ISWD453;3;144
21;REDES DE COMPUTADORES I;FUNDAMENTOS DE REDES Y CONECTIVIDAD;ISWD453;3;144
22;ASIGNATURA DE ECONOMIA Y SOCIEDAD;N/A;CSHD400;1;48
23;INGENIERIA DE SOFTWARE I;FUNDAMENTOS DE BASES DE DATOS;ICCD512;2;96
24;INTELIGENCIA ARTIFICIAL;METODOS NUMERICOS - ESTRUCTURA DE DATOS Y ALGORITMOS II;ICCD523;3;144
25;COMPUTACION GRAFICA;ESTRUCTURA DE DATOS Y ALGORITMOS II;ICCD533;3;144
26;GESTION ORGANIZACIONAL;N/A;ADMD511;1;48
27;BASES DE DATOS DISTRIBUIDAS;FUNDAMENTOS DE BASES DE DATOS;ISWD553;3;144
28;REDES DE COMPUTADORES II;REDES DE COMPUTADORES I;ICCD563;3;144
29;APLICACIONES WEB;PROGRAMACION II;ISWD613;3;144
30;DATA MINING Y MACHINE LEARNING;BASES DE DATOS DISTRIBUIDAS;ICCD623;3;144
31;INGENIERIA DE SOFTWARE II;INGENIERIA DE SOFTWARE I;ICCD632;2;96
32;TECNOLOGIAS DE SEGURIDAD;REDES DE COMPUTADORES II;ICCD643;3;144
33;COMPUTACION DISTRIBUIDA;REDES DE COMPUTADORES II;ICCD654;4;192
34;APLICACIONES MOVILES;N/A;ISWD713;3;144
35;INTERACCION HUMANO COMPUTADOR;INGENIERIA DE SOFTWARE I;ISWD723;3;144
36;SEGURIDAD INFORMATICA;TECNOLOGIAS DE SEGURIDAD;ICCD733;3;144
37;BUSINESS INTELLIGENCE;DATA MINING Y MACHINE LEARNING;ISWD743;3;144
38;RECUPERACION DE INFORMACION;N/A;ICCD753;3;144
39;MODELOS Y SIMULACION;INTELIGENCIA ARTIFICIAL;ICCD814;4;192
40;CLOUD COMPUTING;N/A;ICCD823;3;144
41;AUDITORIA INFORMATICA;SEGURIDAD INFORMATICA;ICCD833;3;144
42;PROFESIONALISMO EN INFORMATICA;N/A;ICCD842;2;96
43;INGENIERIA FINANCIERA;GESTION ORGANIZACIONAL;ADMD711;1;48
44;GESTION DE PROCESOS Y CALIDAD;GESTION ORGANIZACIONAL;ADMD611;1;48
45;DISENIO DE TRABAJO DE INTEGRACION CURRICULAR/PREPARACION EXAMEN COMPLEXIVO;N/A;TITD104;1;48
46;TRABAJO DE INTEGRACION CURRICULAR/EXAMEN COMPLEXIVO;N/A;TITD201;5;240
47;PRACTICAS LABORALES;N/A;PRLD105;5;240
48;PRACTICAS DE SERVICIO COMUNITARIO;N/A;PSCD202;2;96
49;GESTION DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;AUDITORIA INFORMATICA - GESTION DE PROCESOS Y CALIDAD;ICCD943;3;144
